                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4741,                 5.8411,                0.88821,                0.38428,                0.10478,                 0.0674,                0.04202,                 1.2559,                 2.7766,                0.85214,              0.0033186,              0.0033186,              0.0033186
                      2,                 1.3779,                  3.993,                0.87677,                 0.3004,                0.28154,                 0.1759,                0.10033,                 1.2454,                 2.0718,                0.85394,                0.00663,                0.00663,                0.00663
                      3,                 1.3851,                 3.4623,                0.88198,                0.32293,                0.30577,                0.19305,                0.12265,                 1.2001,                 2.0634,                0.85656,              0.0099193,              0.0099193,              0.0099193
                      4,                 1.3485,                 2.7594,                0.88406,                 0.4267,                0.26355,                0.20798,                 0.1319,                 1.2233,                 1.9471,                0.86181,               0.009901,               0.009901,               0.009901
                      5,                 1.2707,                 2.1375,                 0.8725,                 0.3704,                0.32601,                 0.2336,                0.15426,                 1.1554,                 1.7714,                0.85652,               0.009901,               0.009901,               0.009901
                      6,                 1.1968,                 1.8535,                0.86696,                0.37946,                0.37304,                0.27198,                0.17928,                 1.0764,                 1.6565,                0.84889,               0.009868,               0.009868,               0.009868
                      7,                 1.1757,                  1.723,                0.86043,                0.43023,                0.37116,                 0.2964,                  0.203,                 1.0427,                 1.6296,                0.84339,               0.009835,               0.009835,               0.009835
                      8,                 1.1451,                 1.6635,                0.85763,                 0.3467,                 0.3736,                0.29498,                0.20175,                 1.0309,                 1.6431,                0.84386,               0.009802,               0.009802,               0.009802
                      9,                 1.1312,                  1.581,                 0.8498,                0.43129,                0.39244,                0.32139,                0.21289,                 1.0403,                 1.5494,                 0.8428,               0.009769,               0.009769,               0.009769
                     10,                 1.1256,                 1.5781,                0.84959,                0.43792,                0.38247,                 0.3319,                0.22358,                 1.0261,                 1.5026,                0.83706,               0.009736,               0.009736,               0.009736
                     11,                 1.0975,                 1.5196,                0.85137,                 0.4141,                0.39921,                0.35035,                0.24446,                 1.0047,                 1.4358,                0.83635,               0.009703,               0.009703,               0.009703
                     12,                 1.0877,                 1.4954,                0.84562,                0.41183,                0.43281,                0.36871,                0.26309,                0.95323,                 1.3826,                0.82931,                0.00967,                0.00967,                0.00967
                     13,                 1.0884,                 1.4648,                0.84202,                0.47171,                0.43955,                0.38592,                0.27056,                0.97875,                 1.4018,                0.83235,               0.009637,               0.009637,               0.009637
                     14,                 1.0663,                 1.4362,                0.84085,                0.41239,                 0.4216,                0.35861,                0.25208,                0.98053,                 1.4542,                0.83114,               0.009604,               0.009604,               0.009604
                     15,                 1.0516,                 1.4065,                0.83731,                0.42439,                0.45799,                0.40536,                0.28883,                0.94961,                 1.3064,                0.82759,               0.009571,               0.009571,               0.009571
                     16,                 1.0549,                  1.378,                0.83829,                0.39605,                0.43063,                0.37943,                 0.2658,                0.96537,                 1.3777,                0.83045,               0.009538,               0.009538,               0.009538
                     17,                  1.037,                 1.3433,                0.83871,                 0.4699,                0.44712,                0.40509,                0.29178,                0.93107,                 1.3191,                0.82457,               0.009505,               0.009505,               0.009505
                     18,                 1.0311,                 1.3284,                 0.8376,                0.47816,                0.47023,                0.43436,                0.30361,                0.95371,                 1.2513,                0.82831,               0.009472,               0.009472,               0.009472
                     19,                 1.0254,                 1.3305,                0.83694,                0.46635,                0.48146,                 0.4398,                0.31676,                 0.9231,                  1.226,                0.82594,               0.009439,               0.009439,               0.009439
                     20,                 1.0157,                 1.2995,                0.83421,                0.50445,                0.45366,                 0.4448,                0.31541,                0.91812,                 1.2237,                0.82342,               0.009406,               0.009406,               0.009406
                     21,                   1.02,                  1.286,                0.83405,                0.46256,                0.47842,                 0.4578,                0.33087,                0.91015,                 1.1905,                0.82126,               0.009373,               0.009373,               0.009373
                     22,                 1.0072,                 1.2763,                0.83063,                0.46651,                0.46128,                0.45184,                0.32329,                0.91957,                 1.1919,                0.82448,                0.00934,                0.00934,                0.00934
                     23,                0.99432,                 1.2444,                0.83315,                0.48985,                0.48105,                 0.4622,                0.33637,                0.91145,                 1.1948,                0.82138,               0.009307,               0.009307,               0.009307
                     24,                0.99876,                 1.2339,                0.83129,                0.53726,                0.49058,                0.48452,                0.35083,                0.89681,                 1.1504,                0.81966,               0.009274,               0.009274,               0.009274
                     25,                 1.0016,                  1.223,                0.83281,                0.51348,                0.48075,                 0.4822,                0.34806,                0.90556,                 1.1543,                0.82193,               0.009241,               0.009241,               0.009241
                     26,                 1.0005,                 1.2156,                0.82973,                0.54407,                0.48548,                0.50065,                0.35948,                0.91015,                 1.1229,                0.82135,               0.009208,               0.009208,               0.009208
                     27,                0.98377,                 1.1956,                0.82699,                0.50942,                0.52697,                0.50948,                 0.3715,                0.88717,                 1.0713,                0.81852,               0.009175,               0.009175,               0.009175
                     28,                0.98848,                 1.1978,                0.82749,                0.50945,                 0.5122,                0.50691,                0.36598,                0.90208,                 1.1113,                0.82162,               0.009142,               0.009142,               0.009142
                     29,                0.98185,                 1.1772,                0.82834,                0.52424,                0.51854,                 0.5242,                 0.3814,                0.88669,                 1.0772,                   0.82,               0.009109,               0.009109,               0.009109
                     30,                0.99247,                 1.1668,                 0.8299,                0.60374,                0.47585,                0.52453,                0.38027,                0.88768,                 1.0769,                0.81861,               0.009076,               0.009076,               0.009076
                     31,                0.97278,                 1.1471,                0.82978,                0.55266,                0.49777,                0.52075,                0.37742,                0.88275,                 1.0801,                0.81836,               0.009043,               0.009043,               0.009043
                     32,                  0.957,                 1.1303,                0.82827,                0.57177,                0.49179,                0.52624,                0.38606,                0.87633,                 1.0513,                 0.8168,                0.00901,                0.00901,                0.00901
                     33,                0.96403,                 1.1332,                0.82372,                0.57685,                0.51813,                0.54168,                0.39533,                0.87917,                 1.0255,                0.81823,               0.008977,               0.008977,               0.008977
                     34,                0.97425,                 1.1299,                 0.8268,                 0.5726,                0.50442,                0.52589,                 0.3862,                0.87728,                  1.064,                0.81887,               0.008944,               0.008944,               0.008944
                     35,                0.97012,                 1.1259,                0.82639,                0.57448,                 0.5044,                0.54665,                0.40373,                0.87168,                 1.0141,                0.81696,               0.008911,               0.008911,               0.008911
                     36,                0.96101,                 1.0971,                0.82697,                0.57234,                0.54925,                0.55927,                0.40655,                0.86928,                 1.0121,                0.81794,               0.008878,               0.008878,               0.008878
                     37,                0.96849,                 1.0883,                0.82434,                0.57951,                0.53054,                0.55132,                0.40592,                0.86468,                0.98887,                0.81592,               0.008845,               0.008845,               0.008845
                     38,                0.95288,                  1.091,                0.82489,                0.55161,                0.52056,                0.53997,                0.39563,                0.87207,                 1.0312,                0.81513,               0.008812,               0.008812,               0.008812
                     39,                0.96105,                 1.0837,                0.82625,                0.58657,                0.52428,                0.56458,                0.41311,                 0.8707,                0.99177,                0.81511,               0.008779,               0.008779,               0.008779
                     40,                0.96816,                 1.0796,                 0.8256,                0.61486,                0.50648,                0.56354,                 0.4146,                0.85098,                0.98483,                0.81401,               0.008746,               0.008746,               0.008746
                     41,                0.95691,                 1.0748,                0.82812,                0.62864,                0.53642,                0.58921,                0.43463,                0.85474,                0.94181,                0.81622,               0.008713,               0.008713,               0.008713
                     42,                0.94987,                 1.0523,                0.82684,                0.62173,                0.54226,                0.58989,                0.43368,                0.85715,                 0.9421,                 0.8134,                0.00868,                0.00868,                0.00868
                     43,                0.94286,                 1.0414,                0.82302,                0.64324,                0.54414,                0.60003,                0.44017,                0.85637,                0.93163,                0.81524,               0.008647,               0.008647,               0.008647
                     44,                 0.9458,                 1.0344,                0.82381,                0.62342,                0.56148,                 0.5984,                0.44238,                0.84611,                0.93038,                0.81546,               0.008614,               0.008614,               0.008614
                     45,                0.93573,                 1.0402,                0.82232,                0.63216,                0.56165,                0.60745,                0.44776,                0.85266,                0.91758,                0.81459,               0.008581,               0.008581,               0.008581
                     46,                0.93591,                 1.0211,                0.82351,                0.62034,                0.55243,                0.60586,                0.44645,                0.84384,                0.91828,                0.81386,               0.008548,               0.008548,               0.008548
                     47,                0.94583,                 1.0405,                0.82311,                0.64876,                0.56371,                0.61838,                0.45792,                0.85106,                0.89917,                  0.814,               0.008515,               0.008515,               0.008515
                     48,                0.91579,                0.98438,                 0.8191,                0.60236,                0.55716,                0.61267,                0.45452,                0.83984,                0.90283,                0.81234,               0.008482,               0.008482,               0.008482
