                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.2816,4.7334,0.86938,0.41137,0.26874,0.21119,0.12886,1.1354,1.9589,0.83795,0.003326,0.003326,0.003326
2,1.2194,1.9739,0.85525,0.44433,0.35411,0.30089,0.19557,1.063,1.6522,0.84153,0.0066153,0.0066153,0.0066153
3,1.2798,1.8312,0.86526,0.38226,0.35869,0.28983,0.18093,1.1527,1.757,0.8541,0.0098607,0.0098607,0.0098607
4,1.2736,1.7367,0.86598,0.48045,0.32342,0.29887,0.1903,1.1422,1.6981,0.8552,0.009802,0.009802,0.009802
5,1.2006,1.5988,0.86078,0.44521,0.39589,0.34947,0.23333,1.063,1.5129,0.84691,0.009802,0.009802,0.009802
6,1.1696,1.5463,0.85678,0.45463,0.40265,0.36957,0.24962,1.0219,1.486,0.83713,0.009736,0.009736,0.009736
7,1.1421,1.481,0.85417,0.47808,0.42405,0.41267,0.28065,1.0097,1.3602,0.83819,0.00967,0.00967,0.00967
8,1.1031,1.4106,0.84422,0.42091,0.44149,0.39489,0.26888,1.017,1.3677,0.83393,0.009604,0.009604,0.009604
9,1.0784,1.379,0.84257,0.44086,0.47273,0.42119,0.29015,0.99045,1.3294,0.8358,0.009538,0.009538,0.009538
10,1.064,1.3426,0.84014,0.47787,0.44809,0.44526,0.31356,0.94943,1.2486,0.82808,0.009472,0.009472,0.009472
11,1.0422,1.311,0.83886,0.57753,0.45632,0.47779,0.3405,0.93695,1.1801,0.83001,0.009406,0.009406,0.009406
12,1.0331,1.2573,0.83557,0.50244,0.49973,0.47613,0.34332,0.92201,1.1605,0.82295,0.00934,0.00934,0.00934
13,1.0221,1.2303,0.8327,0.55915,0.49546,0.50394,0.3605,0.91927,1.143,0.82244,0.009274,0.009274,0.009274
14,1.0063,1.2051,0.8333,0.5514,0.51128,0.50871,0.36618,0.92133,1.1159,0.82386,0.009208,0.009208,0.009208
15,1.0006,1.1758,0.83395,0.52046,0.52206,0.52327,0.37794,0.89818,1.0816,0.82079,0.009142,0.009142,0.009142
16,0.98783,1.1288,0.82916,0.53295,0.54053,0.5398,0.38751,0.906,1.0581,0.81996,0.009076,0.009076,0.009076
17,0.99679,1.1354,0.82792,0.57727,0.54747,0.56698,0.41503,0.88427,1.0342,0.8173,0.00901,0.00901,0.00901
18,0.96889,1.1029,0.82873,0.5651,0.51018,0.53661,0.38911,0.88047,1.0617,0.81806,0.008944,0.008944,0.008944
19,0.97407,1.0964,0.82914,0.6356,0.52305,0.57934,0.4269,0.88024,0.97279,0.81707,0.008878,0.008878,0.008878
20,0.96137,1.0693,0.82914,0.6368,0.5489,0.6043,0.43877,0.88464,0.9612,0.81827,0.008812,0.008812,0.008812
21,0.96187,1.0434,0.82415,0.60773,0.56327,0.60307,0.44457,0.87341,0.93977,0.81812,0.008746,0.008746,0.008746
22,0.96103,1.0389,0.82116,0.64682,0.56808,0.61427,0.45055,0.86516,0.90882,0.81781,0.00868,0.00868,0.00868
23,0.95999,1.0333,0.82713,0.65597,0.53947,0.61261,0.45648,0.84697,0.92021,0.81524,0.008614,0.008614,0.008614
24,0.93411,0.99642,0.82377,0.60852,0.58161,0.61796,0.4557,0.8527,0.90127,0.81487,0.008548,0.008548,0.008548
25,0.95132,0.98937,0.82758,0.63405,0.56128,0.63542,0.47084,0.86044,0.88185,0.81823,0.008482,0.008482,0.008482
26,0.94483,0.98245,0.82579,0.66045,0.55561,0.62031,0.45776,0.85107,0.88874,0.8171,0.008416,0.008416,0.008416
27,0.93056,0.95971,0.81967,0.67143,0.56029,0.6357,0.46963,0.84598,0.8652,0.81391,0.00835,0.00835,0.00835
28,0.9386,0.94246,0.82318,0.64776,0.60212,0.65086,0.48272,0.84062,0.83003,0.8119,0.008284,0.008284,0.008284
29,0.92746,0.94698,0.82216,0.65451,0.59947,0.65759,0.48824,0.83576,0.84894,0.81316,0.008218,0.008218,0.008218
30,0.9165,0.91934,0.82274,0.67953,0.60434,0.66755,0.4959,0.83526,0.8116,0.81102,0.008152,0.008152,0.008152
31,0.92194,0.91222,0.82006,0.67194,0.61733,0.67591,0.50294,0.83621,0.81165,0.81156,0.008086,0.008086,0.008086
32,0.91013,0.90234,0.82028,0.66664,0.60449,0.67355,0.50248,0.82926,0.80021,0.81297,0.00802,0.00802,0.00802
33,0.9025,0.89949,0.82027,0.67578,0.59941,0.66916,0.49885,0.82872,0.81069,0.81048,0.007954,0.007954,0.007954
34,0.90905,0.87385,0.82,0.66349,0.63716,0.68013,0.50994,0.82209,0.79457,0.81008,0.007888,0.007888,0.007888
35,0.90569,0.87077,0.82085,0.69681,0.65046,0.69798,0.52527,0.81735,0.77365,0.81013,0.007822,0.007822,0.007822
36,0.90095,0.86727,0.82165,0.68852,0.64249,0.70311,0.5258,0.81909,0.76748,0.81003,0.007756,0.007756,0.007756
37,0.88721,0.84933,0.81819,0.71243,0.63111,0.69672,0.52254,0.81718,0.76541,0.80953,0.00769,0.00769,0.00769
38,0.89649,0.84453,0.8187,0.70614,0.6502,0.71085,0.53233,0.81065,0.75308,0.81025,0.007624,0.007624,0.007624
39,0.90211,0.84689,0.81612,0.73834,0.63428,0.71222,0.53313,0.80773,0.74177,0.80817,0.007558,0.007558,0.007558
40,0.89552,0.8331,0.81668,0.7197,0.63982,0.709,0.53366,0.8118,0.73715,0.80979,0.007492,0.007492,0.007492
41,0.8846,0.81584,0.81525,0.72638,0.64638,0.71759,0.53882,0.80805,0.73648,0.8102,0.007426,0.007426,0.007426
42,0.89162,0.8129,0.81732,0.75671,0.6373,0.73381,0.5511,0.81035,0.71779,0.8092,0.00736,0.00736,0.00736
43,0.875,0.80291,0.81652,0.72404,0.64987,0.72762,0.54786,0.79626,0.72023,0.80711,0.007294,0.007294,0.007294
44,0.87782,0.81688,0.81339,0.71798,0.67261,0.73396,0.55093,0.79671,0.70973,0.80818,0.007228,0.007228,0.007228
45,0.88455,0.79933,0.81444,0.74564,0.64687,0.73765,0.55478,0.79797,0.70141,0.80781,0.007162,0.007162,0.007162
46,0.86996,0.7692,0.81537,0.73885,0.64809,0.73841,0.56077,0.78893,0.6879,0.80655,0.007096,0.007096,0.007096
47,0.86896,0.77228,0.81648,0.75293,0.67529,0.74683,0.56166,0.79562,0.67442,0.80891,0.00703,0.00703,0.00703
48,0.8644,0.75785,0.81337,0.754,0.66803,0.7437,0.56289,0.78869,0.67993,0.80761,0.006964,0.006964,0.006964
49,0.86838,0.75671,0.81467,0.78535,0.65177,0.74762,0.56439,0.79215,0.68074,0.80701,0.006898,0.006898,0.006898
50,0.86107,0.74797,0.81316,0.7565,0.68072,0.75322,0.56889,0.78724,0.67132,0.8067,0.006832,0.006832,0.006832
51,0.86253,0.75978,0.81376,0.76101,0.67404,0.75324,0.56719,0.7926,0.67953,0.80656,0.006766,0.006766,0.006766
52,0.85302,0.72968,0.81219,0.75892,0.68459,0.75812,0.56984,0.78465,0.66237,0.80649,0.0067,0.0067,0.0067
53,0.85356,0.72541,0.81271,0.75814,0.69109,0.76102,0.57566,0.78102,0.65534,0.80618,0.006634,0.006634,0.006634
54,0.84792,0.71777,0.81361,0.76447,0.69023,0.76425,0.58038,0.77645,0.65009,0.80535,0.006568,0.006568,0.006568
55,0.84634,0.72093,0.81148,0.75407,0.71015,0.77174,0.58497,0.7788,0.6443,0.80475,0.006502,0.006502,0.006502
56,0.83958,0.69405,0.80951,0.74969,0.70774,0.776,0.58885,0.77551,0.63247,0.80413,0.006436,0.006436,0.006436
57,0.84435,0.70024,0.80992,0.75763,0.6865,0.768,0.5819,0.77541,0.64888,0.80447,0.00637,0.00637,0.00637
58,0.83398,0.69368,0.81117,0.77627,0.69272,0.77612,0.58921,0.77298,0.62623,0.80426,0.006304,0.006304,0.006304
59,0.83549,0.70266,0.81328,0.78443,0.69098,0.77605,0.58716,0.77143,0.63609,0.80362,0.006238,0.006238,0.006238
60,0.82673,0.68737,0.80788,0.79344,0.69509,0.77944,0.59188,0.76415,0.62067,0.80345,0.006172,0.006172,0.006172
61,0.83063,0.68489,0.80811,0.75261,0.7259,0.78084,0.59162,0.76979,0.62123,0.80378,0.006106,0.006106,0.006106
62,0.82209,0.67184,0.81198,0.80983,0.66872,0.77651,0.5872,0.76777,0.62686,0.80354,0.00604,0.00604,0.00604
63,0.82416,0.66286,0.81136,0.78018,0.7053,0.78476,0.5922,0.76776,0.61759,0.80288,0.005974,0.005974,0.005974
64,0.82387,0.6622,0.80886,0.79293,0.70582,0.78697,0.59592,0.76627,0.61449,0.80324,0.005908,0.005908,0.005908
65,0.82859,0.66874,0.80998,0.76998,0.71737,0.78653,0.59575,0.76535,0.61247,0.80377,0.005842,0.005842,0.005842
66,0.82691,0.66,0.8078,0.76971,0.73513,0.79032,0.59973,0.76555,0.60806,0.8032,0.005776,0.005776,0.005776
67,0.83851,0.66692,0.80934,0.76799,0.73246,0.78822,0.59872,0.76356,0.60538,0.80306,0.00571,0.00571,0.00571
68,0.8227,0.65043,0.81084,0.77884,0.72109,0.79372,0.60369,0.76346,0.60098,0.80308,0.005644,0.005644,0.005644
69,0.81587,0.6405,0.81071,0.81686,0.69901,0.79679,0.60607,0.76433,0.59305,0.80293,0.005578,0.005578,0.005578
70,0.82095,0.63845,0.80942,0.81627,0.70889,0.79846,0.60818,0.75917,0.58707,0.80283,0.005512,0.005512,0.005512
71,0.81932,0.6339,0.807,0.79918,0.71387,0.79553,0.60433,0.76132,0.59661,0.80262,0.005446,0.005446,0.005446
72,0.8233,0.62601,0.81012,0.7881,0.73243,0.79632,0.60664,0.75999,0.59455,0.80305,0.00538,0.00538,0.00538
73,0.80972,0.62408,0.80762,0.77947,0.74263,0.79883,0.60981,0.75661,0.58928,0.80234,0.005314,0.005314,0.005314
74,0.80449,0.61119,0.80626,0.81163,0.72499,0.80584,0.61186,0.76024,0.58681,0.80202,0.005248,0.005248,0.005248
75,0.80242,0.61984,0.80479,0.8075,0.7185,0.80895,0.61709,0.75882,0.58041,0.80178,0.005182,0.005182,0.005182
76,0.80789,0.60815,0.80733,0.82515,0.71029,0.8087,0.61662,0.75935,0.57899,0.80209,0.005116,0.005116,0.005116
