                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6756,                0.41235,                0.79186,                0.83155,                0.76911,                0.84408,                0.64089,                0.78266,                0.56827,                0.80091,              0.0033296,              0.0033296,              0.0033296
                      2,                0.71882,                0.46039,                0.79405,                0.83583,                0.73768,                0.82253,                0.61513,                0.79755,                0.61093,                0.80315,               0.006619,               0.006619,               0.006619
                      3,                0.77348,                0.55608,                0.80246,                0.73715,                0.70718,                0.76806,                0.57341,                0.83091,                 0.7063,                 0.8083,              0.0098644,              0.0098644,              0.0098644
                      4,                0.84577,                0.69731,                0.80861,                 0.7689,                0.68162,                0.75481,                0.55758,                0.84615,                0.73623,                0.81049,               0.009802,               0.009802,               0.009802
                      5,                 0.8583,                0.72869,                 0.8122,                0.68441,                 0.6987,                0.72992,                0.53404,                0.84961,                0.76985,                0.80875,               0.009802,               0.009802,               0.009802
                      6,                0.86692,                0.73235,                0.81043,                0.72872,                0.67886,                 0.7407,                0.54856,                0.83572,                0.75629,                0.80838,               0.009736,               0.009736,               0.009736
                      7,                0.86929,                0.72464,                0.81047,                 0.7349,                0.69736,                 0.7529,                0.55844,                0.83382,                 0.7272,                0.80971,                0.00967,                0.00967,                0.00967
                      8,                0.86339,                0.74351,                0.81074,                 0.7129,                0.67946,                0.73359,                0.53491,                0.84871,                0.77486,                0.81254,               0.009604,               0.009604,               0.009604
                      9,                0.85783,                0.73715,                0.81039,                0.76285,                0.67096,                0.75709,                0.55459,                0.85217,                0.74914,                0.81102,               0.009538,               0.009538,               0.009538
                     10,                0.86338,                0.73397,                0.81384,                 0.7245,                0.66834,                0.73702,                0.54696,                0.83563,                 0.7598,                0.80924,               0.009472,               0.009472,               0.009472
                     11,                0.84679,                0.71025,                0.80989,                0.74739,                 0.6832,                0.76348,                0.56306,                0.83591,                0.71625,                0.80891,               0.009406,               0.009406,               0.009406
                     12,                0.85569,                0.70861,                0.81373,                0.75135,                0.66953,                0.75197,                0.55471,                0.83536,                0.73306,                0.80822,                0.00934,                0.00934,                0.00934
                     13,                 0.8581,                0.71042,                0.81222,                0.76985,                0.68167,                0.76581,                0.56738,                0.83369,                0.72351,                0.80854,               0.009274,               0.009274,               0.009274
                     14,                0.85408,                0.69914,                0.81118,                0.77057,                0.67041,                0.76181,                0.56503,                0.82593,                0.70745,                0.80927,               0.009208,               0.009208,               0.009208
                     15,                0.86697,                0.70678,                0.81234,                 0.7611,                0.69925,                0.77247,                0.56967,                0.83187,                 0.7031,                0.80845,               0.009142,               0.009142,               0.009142
                     16,                0.86568,                0.69713,                0.81054,                0.75856,                0.69439,                0.76732,                0.57048,                0.82709,                0.69967,                0.80973,               0.009076,               0.009076,               0.009076
                     17,                 0.8596,                0.69592,                0.81432,                0.76227,                0.68466,                0.75899,                0.56624,                0.81971,                0.72381,                0.80707,                0.00901,                0.00901,                0.00901
                     18,                0.86082,                0.68786,                0.81009,                0.76426,                0.69098,                0.76981,                 0.5743,                0.81518,                0.70139,                0.80789,               0.008944,               0.008944,               0.008944
                     19,                0.85778,                0.68602,                 0.8098,                0.78287,                0.70474,                0.78668,                0.58295,                0.82578,                0.69064,                0.80907,               0.008878,               0.008878,               0.008878
                     20,                 0.8443,                0.66515,                0.80665,                0.77484,                0.68818,                0.76866,                0.56956,                0.82713,                0.69184,                0.80882,               0.008812,               0.008812,               0.008812
                     21,                0.84805,                0.66913,                0.81265,                0.77935,                0.70556,                0.77356,                 0.5742,                0.82103,                0.70071,                0.80995,               0.008746,               0.008746,               0.008746
                     22,                0.84004,                0.66363,                0.81074,                0.79658,                0.70073,                0.78027,                0.57696,                0.82671,                0.68194,                0.81062,                0.00868,                0.00868,                0.00868
                     23,                0.82933,                0.64758,                0.80888,                0.78201,                0.72033,                0.78725,                0.58651,                0.80998,                0.67507,                0.80659,               0.008614,               0.008614,               0.008614
                     24,                0.83905,                0.66695,                 0.8098,                0.77288,                0.69552,                0.77376,                0.57458,                0.81626,                0.68169,                0.80857,               0.008548,               0.008548,               0.008548
                     25,                0.83382,                  0.639,                0.80823,                0.77515,                0.69451,                0.77717,                0.58097,                0.81333,                0.67885,                0.80634,               0.008482,               0.008482,               0.008482
                     26,                0.82617,                0.64316,                0.80617,                0.76949,                0.71679,                0.78365,                0.58395,                0.80883,                 0.6763,                0.80722,               0.008416,               0.008416,               0.008416
                     27,                0.83026,                0.65418,                0.80643,                0.80766,                0.68529,                0.78936,                0.58754,                0.81581,                 0.6675,                0.80921,                0.00835,                0.00835,                0.00835
                     28,                0.82863,                0.63739,                0.80975,                0.76373,                0.73067,                0.78992,                0.59128,                0.80378,                0.66724,                0.80585,               0.008284,               0.008284,               0.008284
                     29,                 0.8334,                0.63249,                0.80879,                0.78293,                0.72224,                 0.7891,                0.58695,                0.80644,                0.66949,                0.80579,               0.008218,               0.008218,               0.008218
                     30,                0.83025,                0.63929,                0.80504,                0.79244,                0.71231,                0.78728,                  0.592,                 0.8024,                0.65633,                0.80727,               0.008152,               0.008152,               0.008152
                     31,                0.82498,                0.62889,                0.80748,                0.79023,                0.73176,                0.80022,                0.59866,                0.81128,                0.64077,                0.80801,               0.008086,               0.008086,               0.008086
                     32,                0.83069,                0.62055,                0.80941,                0.79144,                0.73094,                0.80882,                0.60584,                0.81227,                0.63658,                0.80759,                0.00802,                0.00802,                0.00802
                     33,                0.82637,                 0.6294,                0.80604,                0.79276,                0.72309,                0.80092,                0.60454,                0.79937,                0.63218,                0.80747,               0.007954,               0.007954,               0.007954
                     34,                0.82438,                0.61427,                0.80784,                0.76672,                0.73273,                 0.7952,                0.59732,                 0.8008,                0.65264,                0.80777,               0.007888,               0.007888,               0.007888
                     35,                  0.819,                0.61476,                0.80677,                 0.7761,                0.75061,                0.80737,                 0.6044,                0.79609,                0.63602,                0.80471,               0.007822,               0.007822,               0.007822
                     36,                0.81513,                0.59662,                0.80593,                0.81207,                0.73309,                0.80675,                0.60312,                0.80114,                0.64031,                0.80628,               0.007756,               0.007756,               0.007756
                     37,                0.81332,                0.60032,                  0.804,                0.79553,                 0.7227,                0.79651,                0.59961,                0.79501,                0.63024,                0.80641,                0.00769,                0.00769,                0.00769
                     38,                0.81002,                0.59029,                0.80898,                0.78387,                 0.7445,                0.80324,                0.60597,                0.79431,                0.62049,                0.80574,               0.007624,               0.007624,               0.007624
                     39,                 0.8141,                0.59222,                 0.8083,                0.79509,                0.73566,                0.80842,                0.60581,                0.79558,                0.61802,                0.80753,               0.007558,               0.007558,               0.007558
                     40,                0.80303,                0.59072,                0.80393,                0.79711,                0.74359,                  0.808,                0.60478,                0.79304,                0.62775,                 0.8049,               0.007492,               0.007492,               0.007492
                     41,                0.81341,                0.59479,                0.80678,                0.79439,                0.72449,                0.80398,                0.60185,                0.79673,                0.61982,                0.80538,               0.007426,               0.007426,               0.007426
                     42,                 0.8224,                0.59489,                0.80605,                0.79978,                 0.7455,                0.80831,                0.61037,                0.79618,                0.61347,                0.80679,                0.00736,                0.00736,                0.00736
                     43,                0.81336,                0.59464,                0.80587,                 0.8149,                0.74366,                0.81733,                0.61348,                0.79679,                0.60459,                 0.8062,               0.007294,               0.007294,               0.007294
                     44,                0.80181,                 0.5781,                0.80648,                0.81648,                0.73888,                0.80977,                 0.6108,                0.79044,                0.60693,                0.80514,               0.007228,               0.007228,               0.007228
                     45,                0.80317,                 0.5871,                0.80443,                0.81676,                0.74657,                0.81432,                0.61421,                0.78773,                0.59798,                0.80425,               0.007162,               0.007162,               0.007162
                     46,                0.80222,                0.57145,                0.80554,                0.80351,                0.74785,                0.81292,                0.61014,                0.79254,                0.59718,                0.80394,               0.007096,               0.007096,               0.007096
                     47,                0.81189,                0.57082,                0.80381,                0.81777,                0.74723,                0.81837,                0.61572,                0.79001,                 0.6018,                0.80414,                0.00703,                0.00703,                0.00703
                     48,                0.80022,                0.56897,                0.80416,                 0.7978,                0.76174,                0.81842,                0.61538,                0.79108,                0.60326,                0.80403,               0.006964,               0.006964,               0.006964
                     49,                0.79482,                0.55908,                0.80643,                  0.808,                 0.7568,                0.82456,                0.62379,                0.78179,                0.59296,                0.80507,               0.006898,               0.006898,               0.006898
                     50,                0.79393,                 0.5696,                0.80418,                0.80615,                0.76165,                0.82111,                0.61928,                0.78351,                0.59051,                0.80426,               0.006832,               0.006832,               0.006832
